,Reviews,Sentiment
0,"<div class=""text show-more__control"">Seriously I am actually convinced now that nobody in the industry knows how to write an ending. they are so focused on leaving plot opening for a possible future opportunity that they cant give a satisfying ending!
Game of thrones and the decline of Stranger things to mention a few.</div>",Negative
1,"<div class=""text show-more__control"">OMG! What have I just watched? Remake of Avengers: Infinity War?<br/><br/>The last installment of Avengers looks like another Infinity War with table turning (this time we won) and introduction of few new elements such as Captain Marvel, Ant-Man and time machine. The rest is pretty much the same: whole lot of super-heroes doing crash-smash-flash-zap-bang super-fictional thing we already seen in earlier Avengers. OK, have to admit CGI is awesome but if you strip that the result is below average movie to watch once and leave in archive (if you mistakenly bought disc).<br/><br/>Bottom line, I really don't see End Game as a ""Masterpiece"" just because it filled-up box office emerging on top of all movies. It is not something we have not seen before, no breakthrough, not better than Infinity War. Just good advertising boosted this up on hall of fame scale.</div>",Negative
2,"<div class=""text show-more__control"">Horrible movie. Boring and poorly written. I don't understand the high rating or the hype. I didn't even finish watching it because it was so awful. I love all of the Marvel movies, but this one was unwatchable. What a waste of a perfectly good Saturday night.</div>",Negative
3,"<div class=""text show-more__control"">It was extremely disappointing. Crammed every politically correct them down your throat.</div>",Negative
4,"<div class=""text show-more__control"">You can't even consider this a film. It's a 3 hour tv episode. Films should work on their own. Even batman returns and the dark knight understood this, and work on their own. This ""film"" is okay enough. The ""original"" score is terrible. The acting is decent. The CGI is way overused, not a single shot without some CG ""enhancements"". The story is, well, near nonexistent once you take out the action sequences. I'd give this a 5/10. Only rated it 1 star because a franchise film does not deserve a spot in the top 100.</div>",Negative
5,"<div class=""text show-more__control"">Story not good .. that's way i don't like this type of move.</div>",Negative
6,"<div class=""text show-more__control"">This movie dosent deserve to be this high on IMDb,it was bring and by far the worst avengers movie with a disapointing and predictable outcome,it ruined thanos and the heroes one with no casualties like every superhero movie,endgame was by far the worst most overrated marvel movie</div>",Negative
7,"<div class=""text show-more__control"">This movie was horrendous - it seems like the script was written by a 10 year old. The humor was terrible and the story was fragmented. Really don't understand how people are rating this so high. Maybe another movie, Idiocracy, explains it all - people are just satisfied by dumber crap.</div>",Negative
8,"<div class=""text show-more__control"">Cheap dialogs, non sense violence. The only thing the movie has to offer is explosions. Is it really that hard to make quality superhero movies? Look at Christopher Nolan's series of Batman movies, those are quality films. This movie is flat, it can be consumed as fast food, nothing to offer really</div>",Negative
9,"<div class=""text show-more__control"">Not sure about the rave reviews. But was a huge let down. It felt as if they just wanted to end the series . Infinity war could have been a better ending. Lot of flaws on time travel theory as well.</div>",Negative
10,"<div class=""text show-more__control"">I really liked Infinity war and really wanted to see the next movie. To my surprise it was pathetic. Thanks God I wathed it on Blu Ray and many scenes I simply skipped.</div>",Negative
11,"<div class=""text show-more__control"">A complete let down as they tried to turn End Game into some family comedy bit. They should have stopped at Infinity War.</div>",Negative
12,"<div class=""text show-more__control"">Potboiler at best ... confusing to say the least. This was just an opportunity for these actors to make a shed load of money without trying. How it ever got 8.6 is beyond me ..</div>",Negative
13,"<div class=""text show-more__control"">Not sure what all the fuss is about. It's no way an all-time top ten film</div>",Negative
14,"<div class=""text show-more__control"">I dont see why people think its that great. We already know whats gonna happen. They just copy it from the comics. You want a good superhero movie. Make the movie first, then the comic book. It will save time and money.</div>",Negative
15,"<div class=""text show-more__control"">This movie was a joke,its barely a movie and more of an event this isint even an original movie the only thing this movie did to bring in people was have old mcu movies to make fans feel nostalgic,endames time travel logic was horrible, most overrated movie ever</div>",Negative
16,"<div class=""text show-more__control"">The movie is not even worth half the rating it has got! It should be 3 or 4</div>",Negative
17,"<div class=""text show-more__control"">Infinity War by far the best Marvel by a long way. However Endgame half the film was boring and only the last 10 minutes had an resembles to Infinity war.<br/><br/>Thick Thor, Professor Hulk brilliant the rest average.</div>",Negative
18,"<div class=""text show-more__control"">A country desperate to sell itself as a hero, together with current propaganda of misplaced feminism and diversity, Avengers is a shallow cliché that won't be enjoyed by anybody 25 years in the future. And yet here we are, selling confusion to adolescents, regardless their age. Tell me if that slap Gamora (female) gives to StarLord (male) would be nearly acceptable if it has been the other way around? Layers of unethical messages and contradictions that go straight to the midbrain. Unfortunate script for many good actors that participated in this super production designed for super degeneration.</div>",Negative
19,"<div class=""text show-more__control"">The whole thing is just a disaster. The very premise, that Thanos thinks getting rid of half of the living things in the universe (not half the human or half the sentient beings, but half the cows &amp; half the chickens &amp; half the space creatures too) is just to dumb to handle. A five-year-old could tell you that's a stupid plan, and yet we're supposed to believe a Titan can't see the flaw in it? (I'd say the single bright spot here is Steve Rogers's backside. Truly, America's ass.)</div>",Negative
20,"<div class=""text show-more__control"">I managed to watch 40 minutes of this crap, and then could not stand it any longer. You must be a true fan of Marvel Universe to see it until the end. If you are not, avoid - nothing makes sense in this utterly boring movie. Acting is really bad too. High-end special effects cannot save it.</div>",Negative
21,"<div class=""text show-more__control"">I can never be bothered with reviews but this films rating is beyond a joke.
Plot is awkward and ridiculous... even for Marvel.
Acting is non existent. Direction and editing just feels amateurish.
I couldnt deal with anymore after the 1st hour it was excruciating.
It feels like they gave a class of children the old ""how would you end the avengers"" lesson and just put all the answers in a bag and picked one.... and then just made it work.... or so they thought.
I may feels the urge to watch the 1st half again and hope it inspires me to watch the conclusion but its highly doubtful.</div>",Negative
22,"<div class=""text show-more__control"">So boring and predictable story with cringe moments such a dissapointment</div>",Negative
23,"<div class=""text show-more__control"">Man what a let down after Infinity War. Virtually no action in a superhero movie. Predictable plot with lame time warping around all over the place. And what in God's name did you do with Thor's character after the last movie holy crap! So glad I didn't waste my time in a theater for this one.</div>",Negative
24,"<div class=""text show-more__control"">I managed to watch 40 minutes of this crap, and then could not stand it any longer. You must be a true fan of Marvel Universe to see it until the end. If you are not, avoid - nothing makes sense in this utterly boring movie. Acting is really bad too. High-end special effects cannot save it.</div>",Negative
25,"<div class=""text show-more__control"">I can never be bothered with reviews but this films rating is beyond a joke.
Plot is awkward and ridiculous... even for Marvel.
Acting is non existent. Direction and editing just feels amateurish.
I couldnt deal with anymore after the 1st hour it was excruciating.
It feels like they gave a class of children the old ""how would you end the avengers"" lesson and just put all the answers in a bag and picked one.... and then just made it work.... or so they thought.
I may feels the urge to watch the 1st half again and hope it inspires me to watch the conclusion but its highly doubtful.</div>",Negative
26,"<div class=""text show-more__control"">So boring and predictable story with cringe moments such a dissapointment</div>",Negative
27,"<div class=""text show-more__control"">The whole thing is just a disaster. The very premise, that Thanos thinks getting rid of half of the living things in the universe (not half the human or half the sentient beings, but half the cows &amp; half the chickens &amp; half the space creatures too) is just to dumb to handle. A five-year-old could tell you that's a stupid plan, and yet we're supposed to believe a Titan can't see the flaw in it? (I'd say the single bright spot here is Steve Rogers's backside. Truly, America's ass.)</div>",Negative
28,"<div class=""text show-more__control"">A country desperate to sell itself as a hero, together with current propaganda of misplaced feminism and diversity, Avengers is a shallow cliché that won't be enjoyed by anybody 25 years in the future. And yet here we are, selling confusion to adolescents, regardless their age. Tell me if that slap Gamora (female) gives to StarLord (male) would be nearly acceptable if it has been the other way around? Layers of unethical messages and contradictions that go straight to the midbrain. Unfortunate script for many good actors that participated in this super production designed for super degeneration.</div>",Negative
29,"<div class=""text show-more__control"">The movie is not even worth half the rating it has got! It should be 3 or 4</div>",Negative
