,Reviews,Sentiment
0,"<div class=""text show-more__control"">But the best part is joakin not film. You should watch this</div>",Negative
1,"<div class=""text show-more__control"">I went in to joker with high expectations, and hounestly Joaquin phoenix was absolutely amazing and kept me glued to the screen, everytime arthur wore the joker make up crazy sh#t happened, joker is a really dark and sad depiction of how society really is, the past 30 minutes were the BEST piece of cinema I've seen, as soon as he put on his iconic joker make up the movie got even better, the stair dancing scene was amazing and peopel were laughing of happiness, everything from bruce Wayne's parents dying and the car dancing scene and all the followers rooting joker is without a doubt one of the BEST movies ever made and the best movie this year</div>",Negative
2,"<div class=""text show-more__control"">I can not understand why people think this is a good film, it's rubbish....</div>",Negative
3,"<div class=""text show-more__control"">Two hours of nervous laughing, smoking and psychosis. Cigarette companies must love Hollywood. Finally extreme violence at the end. Oscar material? 10 star material? I think not. Best part the music.</div>",Negative
4,"<div class=""text show-more__control"">I can't remember the last time I was as bored.
At no point did I give a toss about the Joker.
Beyond over rated and Joaqin Phoenix was as crap as he normally is.
Don't bother with it.</div>",Negative
5,"<div class=""text show-more__control"">Ugh I hate stupid movies like these so much, I don't get why or how everyone loves this movie so much. It had 0 story and a pretty stupid and cliche twist, this proves people are stupid.</div>",Negative
6,"<div class=""text show-more__control"">I really disappointed with this movie. It is one of the most miserable and obtuse movies I ever watched.
I wish not to waste my time watching it...</div>",Negative
7,"<div class=""text show-more__control"">It's a very unoriginal film. just watch Taxi Driver and King of Comedy. it's basically a rip-off of those movies.</div>",Negative
8,"<div class=""text show-more__control"">Good acting and all but just too negative. It's sad movie and I did not enjoy.</div>",Negative
9,"<div class=""text show-more__control"">I took my kids to go see this movie and had to walk out One Hour in After Paying $50 on Tickets and Snacks!!!I thought it was going to be a movie with Batman but this has NOTHING to do with Batman!!! The theater didn't give me a refund and I'm NOT going to take my kids back in to finish it, do not watch this with your kids. I'm disappointed in DC for allowing such a movie to be made!!</div>",Negative
10,"<div class=""text show-more__control"">A really bad movie, fell half a sleep during the film and the actors were really bad.</div>",Negative
11,"<div class=""text show-more__control"">The worst film i have seen in my life
It is nothing</div>",Negative
