,Reviews,Sentiment
0,"<div class=""text show-more__control"">To be honest, I am so disappointed! Some of the Korean movies I saw before were good, but the plot of the film was too stiff. The film is so full of class stereotypes that it appears that some plots and people are stupid.</div>",Negative
1,"<div class=""text show-more__control"">Just goes to show you most people like dumb shows. Not sure what the hype is. Political</div>",Negative
2,"<div class=""text show-more__control"">If I could give 1 star I would. Terrible. This film is from Korean (a country in ASIA!!!) and it won best oscal but we all watched it last night and it was terrible. WARNING SUBTITLE and INDECENT WOMEN</div>",Negative
3,"<div class=""text show-more__control"">This movie was predictable and boring... I don't get all of the fuss at all</div>",Negative
4,"<div class=""text show-more__control"">What new in content...
Waste of 2hrs by watching this movie
Simply overhyped the movie</div>",Negative
5,"<div class=""text show-more__control"">I don't have time to write about this sham of a movie. I've already wasted enough time watching it. the movie had no message, no lesson..just bunch of liars and criminals. If the Korean culture is like that then I am definitely steering clear.
I have no idea why everyone around me seems to love this movie. What happened to the world?</div>",Negative
6,"<div class=""text show-more__control"">Definitely they would have given bribe to get Oscar!!!</div>",Negative
7,"<div class=""text show-more__control"">Amazing why people love this movie, boring and very poor acting</div>",Negative
8,"<div class=""text show-more__control"">I started to watch this movie because it has 8.6 IMDB Rating,I cant believe how this movie get that much high rating,
Sorry guys this movie not good for me,very bad storyline,wasted my time,</div>",Negative
9,"<div class=""text show-more__control"">It's in a foreign language they should add subtitles to the top of the screen instead of the bottom so that way you can read it and watch it at the same time</div>",Negative
10,"<div class=""text show-more__control"">This was my least favorite.
It seemed overlong and boring.
I didn't pay to watch it and I am glad I didn't.</div>",Negative
11,"<div class=""text show-more__control"">I see this movie get a high rate and has a high hope. At first I though this would be a copycat of Japanese manga with same titles lol. So I watch the trailer and not impress at all. One day my brother play the movie and I though I give it a try. But after the first half hour I suprise is this a high rate movie ?? I can't stand to watch it. I still curious by the rates (but didn't stand to watch it) so read the synopsys with spoiler instead.. And (sorry), at the end I'm thinking isn't this should be categorized as a very low rate comedy-thriller movie? What an exaggerated ratings.</div>",Negative
12,"<div class=""text show-more__control"">I didn't understand the film. Maybe because of the Korean style of life! But for sure for me it was just a waste of time!
At the beginning it seems to be a comedy, a stupid comedy, but slightly pleasant. All the characters seem to be stupid, liars, but also gullible children.
But then, this stupid comedy turns on into a very bad horror movie.
And at the end, ... a very stupid .... Happy end!<br/><br/>I don't know, maybe it is something wrong with me because so many people appreciates this film superlatively.... but steel I think I'm wright and the others are wrong or are manipulated by politics!.<br/><br/>I'm sorry, but in my opinion, this is a very bad and stupid film!</div>",Negative
13,"<div class=""text show-more__control"">It's terribly terrible i really hate it I don't understand the high ratings</div>",Negative
14,"<div class=""text show-more__control"">Now I understand why Trump said: 'What the hell was that about?'</div>",Negative
15,"<div class=""text show-more__control"">This movies story is very critical and lame. Overrated movi.</div>",Negative
16,"<div class=""text show-more__control"">So boring I fell asleep woke up and tried it again and fell right back to sleep. Did not deserve a Oscar</div>",Negative
