,Reviews,Sentiment
0,"<div class=""text show-more__control"">Hand it to Cameron for making a film full of historical inaccuracy that would appeal to the largest of American audiences. Now future generations will always believe that Picasso painted cubist works in 1914, and that turn-of-the-century folk commonly said ""s**t"" and flipped the bird. Sure, it's visually appealing, but the script reads like it was written on the back of cocktail napkins. I haven't seen such idiotic tripe since ""Braveheart"". My thanks to the garbage people of America for making a success of this 200 million dollar film concerned with 'class struggle'. The liberal filmmakers are laughing all the way to the bank.</div>",Negative
1,"<div class=""text show-more__control"">Nice movie, superb directing, excellent effects, good enough acting(Kate was OK, Leo is the best actor among those least talented beautiful people). An empty script specially designed to show off its special effects. That sums up the most overrated film in history. I will resist commenting on the overplayed soundtrack.<br/><br/>Love lovin schoolgirls and horny boys who enjoy goggling at Kate will certainly adore it. The Oscar judges are probably retired businessmen who know nothing about movies. Heard they rarely accept female members(chauvinist they are) into the panel of Oscar judges. Thus they rate Titanic as best pic, under pressure of their junior school daughters.</div>",Negative
2,"<div class=""text show-more__control"">I went into this movie knowing what to expect.  A long movie, with lots of special effects, and lots of action and romance.  But I never thought I'd see such terrible acting, such terrible scriptwriting, and such terribly developed characters in this highly praised winner of several Academy Awards.  Hollywood has turned to sensationalism, which isn't in itself bad, but it has turned its back on creativity.  What really was great about this movie?  Did it NEED to exist?  Movies like Citizen Kane, or Ran, or Amadeus are movies that rejoice in the possibilities of human creativity.  James Cameron made a movie that was filmed superbly with excellent special effects, but it is the product of money, not spirit.  And in our confused world of today, the last thing we need is a fake Messiah dressed in glittering gold.</div>",Negative
3,"<div class=""text show-more__control"">This movie keeps giving eye ligma whenever I watch it. My eyes lite on fire because of how horrifying it is.</div>",Negative
4,"<div class=""text show-more__control"">What is so great about this movie that it made so much money? We will never know. But all the hype about the real Titanic during that time sure helped it. But looking behind the hype and the historical reference, what do we have, really? Just another fictional love story between two characters that nobody could identify with. C'mon, if it were a story of my real life, I wouldn't want DiCapprio to star in it. He is a one dimensional actor with no real talent, just a ""pretty face"" which only a teenage girl or a confused homo would fall in love with. The other actors were too transparent and unreal. James Cameron was smart using such a clever background and special effects. I've seen it only once in video to see what was all about and fell asleep thru the first 21/2 hours of it. The only good scenes were the sinking of the ship. Why such a crappy movie made so much money? I ill never know but it tells me a lot of the 'American way of life' here. An Oscar for that? Where were L.A. Confidential, Good Will Hunting, Amistad? British controlled Oscar Board of Directors...bah!</div>",Negative
5,"<div class=""text show-more__control"">OK I was forced. I should not have submitted and realised the messenger spoke with forked tounge. Expletives of animal toilet habits will not suffice. James Cameron if you read this, please be aware that THIS is junk. Aliens 2 was great but this takes the cake in sick inducing nonsense. In a historical retelling even U571 pulled it off better and they brazenly lied. Nope sorry if Ihad a choice between watching this again and malaria the malaria will win hands down. Billy Zane HOW COULD YOU!</div>",Negative
6,"<div class=""text show-more__control"">This movie was way too long! I have seen Leonardo DiCaprio do better acting when he was a kid on ""Growing Pains."" There were so many unbelievable plots in this movie. Why would people bring guns on a ship and shoot people. There are so many unanswered questions in this movie. Why were the rich people so mean and snobby? This movie won eleven Oscars? 1997 must have been a very bad year for movies. Who did the extensive research for this movie? How do they know what happened on the Titanic? Very few people (if any) that were on that ship are alive today. Most of the actors did a very good job. However,  I haven't seen many of them in other movies. The ship did look luxurious for 1912.</div>",Negative
7,"<div class=""text show-more__control"">Finally saw the movie completely. Never again I want my time back. I prefer to watch The Poseidon Adventure a 1,000 time before sit and watch this again.</div>",Negative
8,"<div class=""text show-more__control"">This is an excellent movie if you are trying to go to sleep.  The real ship took much less than three hours to sink.  Why suffer through over three and a half in a remake.  The movie travels slow and seems to take forever to get to the next scene.  So much of the dialoge has nothing to do with the plot line of the movie, and the rest of it just repeats what the audience already knows.  The love story is very typical of every movie and offers no difference to any other love story out of Hollywood these days.  It has a very cookie cutter story line.  As for the acting of DiCaprio, if his character was supposed to be so sappy and pathetic you just wanted to pull him out of the movie and give him a good flogging, then he did a wonderful job.  However, I seriously doubt that it was intentional in any way.</div>",Negative
9,"<div class=""text show-more__control"">This is by far, the most over-rated movie of all time. It won something like 13 Academy Awards simply based on box office grosses. How do I know this, because it came out the same year as LA Confidential, one of the greatest crime dramas ever made. The set design and direction of Titanic are actually very good. Well the set design is AMAZING. However the acting is so bad, it makes me wonder how Leonardo Dicaprio was ever a good actor(The Basketball Diaries, What's Eating Gilbert Grape). Kate Winslet wasn't bad, but surely over-rated. Billy Zane plays a cartoon villain very poorly, not that he ever proved he was a good actor(The Phantom?). And the rest of the cast is just blah. I still can't get past the fact that people really believe this is one of the great ones. Maybe after the teeny boppers that gave this movie 614 billion dollars grow up and see more movies, they'll realize that this is an overall mediocre movie.</div>",Negative
10,"<div class=""text show-more__control"">I just cried and cried and cried and cried. It was so romantic and moving. Yes. And that lovely, lovely, lovely theme music. It is Mozartian. Every time I hear it in a lift, or in a bar, it makes me weep. My life will never be the same.<br/><br/>James Cameron, you are the Shakespeare of the cinema.</div>",Negative
11,"<div class=""text show-more__control"">I don't get it, why would anyone spend time to watch this movie over and over and over and over again? My girl friend watched this movie for 3 times. MY GOD, in theater!! it drove me mad.<br/><br/>This movie, is boring, dumb, and irrational. why would a rich girl fell for a poor theif? It just doesn't make any sense.</div>",Negative
12,"<div class=""text show-more__control"">The special affects were awesome! The acting and script were a disgrace. Sort of a juvenile Stalinist propoganda piece. Watch ""A Night To Remember"",1958, to see a GREAT movie about the Titanic, a movie suitable for those older than age twelve.</div>",Negative
13,"<div class=""text show-more__control"">In my top 3 worst 3 films of all time, just beating King Ralph into 3rd. If i were you, i would take yourself outside, rub a cheese grater on the side of your face for 3 hours then come back inside.  Believe me, you will of had much more fun....</div>",Negative
14,"<div class=""text show-more__control"">Let's sink this ship right now.  It's over, baby, there's nothing left! This is a BAD movie.  I'm not saying there's any harm in enjoying a bad movie, but some of you people have taken it too far.  Epic?  Greatest movie of all time?  Deserving of 11 Oscars?  I SPIT on the ground all of you people who have seen it five, six, seven times walk on.  Bad script + ridiculous acting + egotistical chucklehead director = PIECE OF FILTH MOVIE. I love watching piece of filth movies as much as the next guy, but all of you people with your Leo posters and your Titanic t-shirts and your Greatest Movie of All Time attitudes have driven me and others with even half a bit of common sense to HATE and LOATHE this ""movie.""  I no longer hold this little travesty in any higher regard than I hold ""Hollywood Chainsaw Hookers,"" no offense to the ""Hollywood Chainsaw Hookers"" people.</div>",Negative
15,"<div class=""text show-more__control"">This movie had so much potential and yet it was wasted. It was wasted on a pointless, made-up love story that only prepubescent teens and emotionally immature adults would enjoy. It's completely disrespectful to the actual tragedy and it's victims. Just because the movie made a lot of money does not reflect the quality of it. Someone should redo the film without a James Cameron or Michael Bay perspective.</div>",Negative
16,"<div class=""text show-more__control"">Okay, so why didn't they take advantage of the fact that Satan was on board the ship.  Did he cause the iceberg to appear?  I mean that's who Billy Zane was playing right?  The devil.  Because, after all, only Amon Goeth from Schindler's List in recent history is more of a despicable character in a movie.  He had absolutely no redeeming qualities which leads me to question why a girl supposedly as smart and emancipated as Rose would have anything at all to do with him. I just completely fail to understand the appeal of this movie.  Stock characters, stock situation--2200 people on board the ship and this was the best story Cameron could come up with??  The effects were cheesy and then he throws in tearjerking scenes of people dying that we never got to know as a way of making us feel sad.  You want to see a really romantic movie?  Rent The English Patient.</div>",Negative
17,"<div class=""text show-more__control"">This movie is absolute garbage from beginning to end. I lost all respect for James Cameron after this. I can't believe anyone would rate this movie high. At least 3000+ people with sense (including myself) have rated this as 1 (awful). A trite story, bad acting, a bad script, and a horrible performance from DiCraprio and Winslet. To those who accuse people who rate Titanic low of not rating this movie ""honestly"" I question whether you have rated this movie honestly. If people were honest with themselves and weren't drawn in by the hype of this movie, they would rate this no higher than a 6. By the way-the MPAA rated this a PG-13. Female frontal nudity! Hello!!! Did the person who rated this take a bathroom break during the part when Kate took her clothes off? Granted, Kate Winslet nude is about as attractive as that ugly nude granny in ""The Shining."" At least they still had enough sense in the 70s to give that one an ""R"" rating.</div>",Negative
18,"<div class=""text show-more__control"">Perhaps my expectations ran too high when I watched this movie, but I'm rather inclined to think that this is the most overrated movie that's ever been made. Although the historical facts are of course known, the story holds no surprises at all and the characters are full of clichés which makes it really hard to watch the whole movie without being lulled to sleep or bored to death. Of course, it's a very emotional film with a romantic love story, but the lovers stay two-dimensional unless you happen to be a true Leonardo-di-Caprio-fan, and as I haven't been one before, I certainly won't be one now. As to the ship's sinking itself, which is what the average viewer might have paid for to watch, it's probably impressive and satisfying for most viewers, but I think it is reaching our lowest instincts by satisfying our greed to watch catastrophes from a safe distance, e.g. your living-room or local theater, and gladness it's not us who are fighting for life. Unfortunately, there's really no more than that to the film, so if you haven't seen the movie before, keep your money and find something worth while doing.</div>",Negative
19,"<div class=""text show-more__control"">At least not as bad as The English Patient but pretty much right there. Go see a real love story like The Lobster instead of this trash.</div>",Negative
20,"<div class=""text show-more__control"">Bloated, syrupy disappointment.  Even the special effects were bad.  It was painfully obvious every time they ""went digital"".  Took me right out of the movie each time.  Watching little digitized people fall down the screen....what entertainment.  I rather play ""Pong"".</div>",Negative
21,"<div class=""text show-more__control"">Titanic is an awful movie. Why? Many reasons. Kate Winslet is a good actress, however Leo and the rest of the cast is just pathetic. Second, this tries and fails to be a period piece. Its not, there are too many inaccuracies to even begin to go into, this is a Hollywood piece, not a period movie. <br/><br/>If you are an ignorant white suburban female, you'll cream your pants for this movie because you are n ignorant white suburban female. The ability of this movie to have that reaction makes it a stupid, terrible film, not a good film. Titanic is a really awful movie. I wish James Cameron and Kirk Cameron would get married.</div>",Negative
22,"<div class=""text show-more__control"">...ruined what could have been a very good film.  Every time we are drawn into the mood we are forced out with a ridiculous statement from one of the characters.  The best such example is when Jack and Rose are together reaching to hold on to the railing in what could have been a beautiful, symbolic moment, but no, Rose says ""this is where we first met"" in a cheesy little voice.  Moment gone - killed by stating the obvious.</div>",Negative
23,"<div class=""text show-more__control"">What's there in this movie... to make it deserve 11 oscars ???<br/><br/>I mean... it has grand sets, great soundtrack... so those awards r ok... but then 11 oscars... ??</div>",Negative
24,"<div class=""text show-more__control"">A good movie, but whoever made up this story did not try to make it the least bit believable. Who would actually believe that ""the worlds biggest ship"" would sink because it hit an iceberg, it's just not realistic. And the name ""Titanic"" what does that even mean, what idiot thought it was a fitting name for a giant fictional ship. All around just a bad movie and too long.</div>",Negative
